日期,A厂价格,A厂销量,B厂价格,B厂销量,总销量,市场规模
2023-01,6.5,1992.0,5.5,2782.0,4774.0,5134.0
2023-02,6.0,2271.0,5.5,2702.0,4973.0,5318.0
2023-03,5.0,2598.0,5.0,2599.0,5197.0,5497.0
2023-04,7.0,1314.0,4.0,4024.0,5338.0,5668.0
2023-05,6.5,2888.0,7.0,2490.0,5378.0,5783.0
2023-06,4.5,3775.0,7.0,1560.0,5335.0,5680.0
2023-07,7.5,2666.0,7.5,2667.0,5333.0,5783.0
2023-08,7.0,2891.0,7.5,2519.0,5410.0,5845.0
2023-09,7.5,2160.0,6.0,3374.0,5534.0,5939.0
2023-10,6.5,2990.0,7.0,2578.0,5568.0,5973.0
2023-11,6.0,3383.0,7.5,2165.0,5548.0,5953.0
2023-12,5.5,3546.0,7.0,2189.0,5735.0,6110.0
2024-01,7.5,1528.0,4.5,4246.0,5774.0,6134.0
2024-02,7.0,2226.0,5.5,3605.0,5831.0,6206.0
2024-03,4.0,3301.0,4.5,2609.0,5910.0,6165.0
2024-04,4.0,4671.0,7.5,1329.0,6000.0,6345.0
2024-05,5.5,3283.0,6.0,2759.0,6042.0,6387.0
2024-06,7.0,1736.0,4.5,4200.0,5936.0,6281.0
2024-07,7.5,2523.0,6.5,3358.0,5881.0,6301.0
2024-08,4.5,3902.0,6.0,2195.0,6097.0,6412.0
2024-09,6.0,2469.0,5.0,3555.0,6024.0,6354.0
2024-10,5.5,2171.0,4.0,4105.0,6276.0,6561.0
2024-11,7.5,2574.0,6.5,3427.0,6001.0,6421.0
2024-12,7.0,2580.0,6.0,3512.0,6092.0,6482.0
