id,sku,kinds,stime,num,unit_price,total_price,longitude,latitude
2024100100000000,10510,B,2024-10-01,1,149.36,149.36,95.0,35.0
2024100101000001,10560,B,2024-10-01,1,109.75,109.75,90.0,45.0
2024100101000001,10592,B,2024-10-01,1,195.2,195.2,85.0,35.0
2024100101000002,10593,A,2024-10-01,1,87.14,87.14,130.0,25.0
2024100101000002,10520,A,2024-10-01,1,216.39,216.39,85.0,45.0
2024100101000002,10600,A,2024-10-01,1,194.21,194.21,80.0,30.0
2024100101000002,10554,A,2024-10-01,1,131.28,131.28,120.0,15.0
2024100101000002,10516,A,2024-10-01,1,109.36,109.36,95.0,20.0
2024100101000002,10534,A,2024-10-01,1,175.14,175.14,130.0,10.0
2024100101000003,10523,E,2024-10-01,1,127.14,127.14,100.0,20.0
2024100101000003,10597,E,2024-10-01,1,237.3,237.3,100.0,15.0
2024100100000004,10517,A,2024-10-01,1,126.71,126.71,105.0,45.0
2024100100000005,10569,C,2024-10-01,3,221.79,665.37,90.0,45.0
2024100100000005,10537,C,2024-10-01,1,197.09,197.09,85.0,10.0
2024100101000006,10572,E,2024-10-01,1,166.06,166.06,110.0,40.0
2024100100000007,10560,A,2024-10-01,1,123.47,123.47,110.0,45.0
2024100100000007,10561,A,2024-10-01,1,183.34,183.34,110.0,25.0
2024100100000008,10557,F,2024-10-01,3,106.9,320.7,80.0,10.0
2024100100000009,10593,C,2024-10-01,1,212.47,212.47,100.0,50.0
2024100100000010,10588,E,2024-10-01,1,229.67,229.67,90.0,40.0
2024100100000010,10513,E,2024-10-01,1,122.06,122.06,115.0,30.0
2024100100000010,10575,E,2024-10-01,1,160.69,160.69,100.0,20.0
2024100100000011,10525,F,2024-10-01,2,149.24,298.48,125.0,30.0
2024100100000012,10567,D,2024-10-01,1,100.06,100.06,80.0,45.0
2024100100000012,10588,D,2024-10-01,1,175.02,175.02,100.0,15.0
2024100100000013,10552,B,2024-10-01,2,132.6,265.2,85.0,40.0
2024100100000013,10521,B,2024-10-01,1,157.74,157.74,100.0,20.0
2024100101000014,10519,F,2024-10-01,1,89.67,89.67,120.0,45.0
2024100100000015,10510,F,2024-10-01,1,104.55,104.55,100.0,15.0
2024100101000016,10557,D,2024-10-01,2,120.27,240.54,75.0,25.0
2024100101000016,10595,D,2024-10-01,2,254.37,508.74,80.0,15.0
2024100101000016,10564,D,2024-10-01,1,70.27,70.27,100.0,40.0
2024100101000017,10528,A,2024-10-01,2,120.68,241.36,115.0,30.0
2024100100000018,10528,A,2024-10-01,1,135.76,135.76,130.0,45.0
2024100100000018,10592,A,2024-10-01,1,112.17,112.17,105.0,30.0
2024100100000019,10600,E,2024-10-01,1,194.21,194.21,85.0,15.0
2024100100000020,10547,C,2024-10-01,1,194.7,194.7,95.0,50.0
2024100101000021,10527,A,2024-10-01,1,147.7,147.7,115.0,45.0
2024100101000021,10556,A,2024-10-01,1,159.53,159.53,115.0,45.0
2024100101000021,10597,A,2024-10-01,1,172.49,172.49,85.0,40.0
2024100100000022,10572,C,2024-10-01,1,216.76,216.76,100.0,15.0
2024100100000022,10561,C,2024-10-01,1,193.6,193.6,105.0,20.0
2024100100000023,10600,A,2024-10-01,3,215.79,647.37,95.0,20.0
2024100100000024,10598,A,2024-10-01,1,93.28,93.28,110.0,10.0
2024100100000024,10565,A,2024-10-01,1,148.2,148.2,90.0,45.0
2024100100000024,10552,A,2024-10-01,1,117.86,117.86,80.0,20.0
2024100100000024,10588,A,2024-10-01,1,115.42,115.42,110.0,20.0
2024100100000024,10591,A,2024-10-01,1,132.13,132.13,100.0,25.0
