订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43600004,企业团购,自提,105.0,2021-09-30 08:30:00 - 2021-09-30 09:30:00,2021/9/29 20:37,2021/9/29 20:41,2021/9/29 20:42,B
43601921,企业团购,自提,129.7,2021-09-30 08:30:00 - 2021-09-30 09:30:00,2021/9/29 21:00,2021/9/29 21:05,2021/9/29 21:06,B
43602099,企业团购,配送,803.2,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 17:40,2021/9/30 6:05,2021/9/30 6:10,B
43603382,企业团购,配送,1051.32,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:44,2021/9/30 6:08,2021/9/30 6:10,B
43604226,企业团购,配送,4822.23,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:32,2021/9/30 6:03,2021/9/30 6:10,B
43605149,企业团购,配送,3353.8,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:28,2021/9/30 6:04,2021/9/30 6:10,B
43606310,企业团购,配送,1508.9,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:25,2021/9/30 6:01,2021/9/30 6:10,B
43607734,企业团购,配送,1660.78,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:20,2021/9/30 6:01,2021/9/30 6:10,B
43608820,企业团购,配送,322.87,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 17:26,2021/9/30 6:04,2021/9/30 6:10,D
43609208,企业团购,配送,418.25,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:11,2021/9/30 6:09,2021/9/30 6:10,D
43610791,企业团购,配送,1890.67,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:08,2021/9/30 6:01,2021/9/30 6:10,B
43611053,企业团购,配送,1725.83,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 14:58,2021/9/30 6:09,2021/9/30 6:10,B
